href;language_num;sex;birth_place;native_language;other_languages;age_sex;age_of_english_onset;english_learning_method;english_residence;length_of_english_residence;age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=277;polish1;female;['janow,', 'poland'];"polish
(pol)";['german', ''];['26,', 'female', ''];23.0;academic;['usa'];0.25;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=278;polish2;female;['mielec,', 'poland'];"polish
(pol)";['russian', 'german', ''];['26,', 'female', ''];25.0;academic;['usa'];1.0;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=279;polish3;female;['sacz,', 'poland'];"polish
(pol)";['russian', 'japanese', 'spanish', ''];['31,', 'female', ''];12.0;academic;['usa'];10.0;31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=280;polish4;female;['krakow,', 'poland'];"polish
(pol)";['russian', 'german', 'slovak', ''];['47,', 'female', ''];15.0;academic;['usa'];14.0;47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=482;polish5;male;['maz,', 'poland'];"polish
(pol)";['french', 'german', 'spanish', ''];['22,', 'male', ''];9.0;academic;[''];0.0;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=626;polish6;female;['torun,', 'poland'];"polish
(pol)";['french', 'german', ''];['26,', 'female', ''];8.0;academic;['usa'];2.0;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=728;polish7;male;['przemet,', 'poland'];"polish
(pol)";['german', ''];['20,', 'male', ''];6.0;academic;[''];0.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=769;polish8;male;['otwock,', 'poland'];"polish
(pol)";['german', 'spanish', 'russian', 'latin', ''];['20,', 'male', ''];11.0;academic;[''];0.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=841;polish9;female;['ostroleka,', 'poland'];"polish
(pol)";['none'];['23,', 'female', ''];15.0;academic;['usa'];1.0;23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=842;polish10;female;['wolanow,', 'poland'];"polish
(pol)";['russian', ''];['30,', 'female', ''];15.0;academic;['usa'];6.0;30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=843;polish11;female;['warsaw,', 'poland'];"polish
(pol)";['french', 'dutch', 'russian', 'czech', ''];['56,', 'female', ''];10.0;academic;['usa'];5.0;56
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=883;polish12;male;['warsaw,', 'poland'];"polish
(pol)";['french', 'russian', ''];['40,', 'male', ''];20.0;naturalistic;['usa'];6.0;40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=958;polish13;male;['pomerania,', 'poland'];"polish
(pol)";['german', 'japanese', 'spanish', ''];['22,', 'male', ''];14.0;naturalistic;['canada,', 'usa'];1.3;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1171;polish14;male;['warsaw,', 'poland'];"polish
(pol)";['french', 'russian', 'swedish', 'yiddish', ''];['97,', 'male', ''];35.0;naturalistic;['usa'];57.0;97
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1245;polish15;female;['ketrzyn,', 'poland'];"polish
(pol)";['russian', 'spanish', ''];['25,', 'female', ''];9.0;academic;[''];0.0;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1278;polish16;male;['koszalin,', 'poland'];"polish
(pol)";['french', 'german', ''];['19,', 'male', ''];8.0;academic;[''];0.0;19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1453;polish17;female;['krakow,', 'poland'];"polish
(pol)";['none'];['33,', 'female', ''];13.0;academic;['usa'];9.0;33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1483;polish18;male;['bialystok,', 'poland'];"polish
(pol)";['none'];['18,', 'male', ''];5.0;academic;[''];0.0;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1549;polish19;male;['belchatow,', 'poland'];"polish
(pol)";['german', 'dutch', 'spanish', ''];['24,', 'male', ''];7.0;academic;['uk'];0.2;24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1625;polish20;female;['gdansk,', 'poland'];"polish
(pol)";['russian', 'latin', 'greek', ''];['53,', 'female', ''];4.0;academic;['canada,', 'usa'];35.0;53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1651;polish21;male;['kolobrzeg,', 'poland'];"polish
(pol)";['none'];['30,', 'male', ''];10.0;academic;['uk'];10.0;30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1652;polish22;male;['koszalin,', 'poland'];"polish
(pol)";['italian', 'swedish', ''];['19,', 'male', ''];11.0;academic;[''];0.0;19
