speaker_id;file_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence
1;afrikaans1;virginia, south africa;afrikaans;tswana;27;female;9;academic;usa;0.5
2;afrikaans2;pretoria, south africa;afrikaans;dutch german french;40;male;5;academic;usa;10
3;agni1;diekabo, ivory coast;agni;french;25;male;15;academic;usa;1.2
4;albanian1;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3
5;albanian2;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04
6;amharic1;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2
7;amharic2;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2
8;amharic3;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4
9;amharic4;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2
10;amharic5;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3
11;arabic1;riyadh, saudi arabia;arabic;none;38;female;12;academic;usa;4
12;arabic10;cairo, egypt;arabic;french german;26;male;5;academic;usa;2
13;arabic11;monastir, tunisia;arabic;french;30;female;14;academic;usa;4
14;arabic12;baghdad, iraq;arabic;none;32;male;11;academic;usa;8
15;arabic13;zabbougha, lebanon;arabic;french swedish;25;male;15;academic;usa;1
16;arabic2;damascus, syria;arabic;none;18;male;2.5;naturalistic;usa;3
17;arabic3;doha, qatar;arabic;none;24;male;9;academic;usa;1
18;arabic4;sharjah, united arab emirates;arabic;french;19;male;6;academic;usa;0.6
19;arabic5;casablanca, morocco;arabic;french;19;female;15;academic;usa;0.6
20;arabic6;sanaa, yemen;arabic;none;21;male;14.5;academic;uk,usa;2
21;arabic7;casablanca, morocco;arabic;french;18;female;15;academic;usa;0.1
22;arabic8;casablanca, morocco;arabic;french;21;male;17;academic;usa;0.7
23;arabic9;jerusalem, israel;arabic;none;28;female;4;academic;usa;12
24;armenian1;yerevan, armenia;armenian;russian french;19;female;9;academic;usa;1
25;azerbaijani1;naxcivan, azerbaijan;azerbaijani;russian;24;male;14;academic;usa;1
26;bafang1;douala, cameroon;bafang;french;40;male;30;academic;usa;10
27;baga1;conakry, guinea;baga;susu mandingo french;31;male;29;academic;usa;2
