speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels
1;albanian3;albanian3;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0
2;albanian3 white noise;albanian3 white noise;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0
3;albanian3 time stretch;albanian3 time stretch;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0
4;albanian3 pitch scale;albanian3 pitch scale;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0
5;albanian3 random gain;albanian3 random gain;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0
6;albanian4;albanian4;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0
7;albanian4 white noise;albanian4 white noise;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0
8;albanian4 time stretch;albanian4 time stretch;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0
9;albanian4 pitch scale;albanian4 pitch scale;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0
10;albanian4 random gain;albanian4 random gain;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0
11;albanian5;albanian5;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0
12;albanian5 white noise;albanian5 white noise;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0
13;albanian5 time stretch;albanian5 time stretch;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0
14;albanian5 pitch scale;albanian5 pitch scale;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0
15;albanian5 random gain;albanian5 random gain;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0
16;albanian6;albanian6;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0
17;albanian6 white noise;albanian6 white noise;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0
18;albanian6 time stretch;albanian6 time stretch;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0
19;albanian6 pitch scale;albanian6 pitch scale;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0
20;albanian6 random gain;albanian6 random gain;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0
21;albanian7;albanian7;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0
22;albanian7 white noise;albanian7 white noise;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0
23;albanian7 time stretch;albanian7 time stretch;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0
24;albanian7 pitch scale;albanian7 pitch scale;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0
25;albanian7 random gain;albanian7 random gain;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0
26;albanian8;albanian8;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0
27;albanian8 white noise;albanian8 white noise;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0
28;albanian8 time stretch;albanian8 time stretch;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0
29;albanian8 pitch scale;albanian8 pitch scale;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0
30;albanian8 random gain;albanian8 random gain;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0
31;albanian9;albanian9;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0
32;albanian9 white noise;albanian9 white noise;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0
33;albanian9 time stretch;albanian9 time stretch;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0
34;albanian9 pitch scale;albanian9 pitch scale;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0
35;albanian9 random gain;albanian9 random gain;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0
36;albanian10;albanian10;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0
37;albanian10 white noise;albanian10 white noise;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0
38;albanian10 time stretch;albanian10 time stretch;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0
39;albanian10 pitch scale;albanian10 pitch scale;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0
40;albanian10 random gain;albanian10 random gain;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0
41;albanian11;albanian11;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0
42;albanian11 white noise;albanian11 white noise;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0
43;albanian11 time stretch;albanian11 time stretch;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0
44;albanian11 pitch scale;albanian11 pitch scale;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0
45;albanian11 random gain;albanian11 random gain;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0
46;albanian12;albanian12;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0
47;albanian12 white noise;albanian12 white noise;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0
48;albanian12 time stretch;albanian12 time stretch;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0
49;albanian12 pitch scale;albanian12 pitch scale;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0
50;albanian12 random gain;albanian12 random gain;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0
51;albanian13;albanian13;durres, albania;albanian;spanish;18;female;8;academic;usa;4;0
