speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels
4;albanian1;albanian1;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3;3
4;albanian1 white noise;albanian1 white noise;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3;3
4;albanian1 time stretch;albanian1 time stretch;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3;3
4;albanian1 pitch scale;albanian1 pitch scale;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3;3
4;albanian1 random gain;albanian1 random gain;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3;3
5;albanian2;albanian2;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04;3
5;albanian2 white noise;albanian2 white noise;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04;3
5;albanian2 time stretch;albanian2 time stretch;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04;3
5;albanian2 pitch scale;albanian2 pitch scale;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04;3
5;albanian2 random gain;albanian2 random gain;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04;3
458;albanian3;albanian3;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;3
458;albanian3 white noise;albanian3 white noise;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;3
458;albanian3 time stretch;albanian3 time stretch;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;3
458;albanian3 pitch scale;albanian3 pitch scale;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;3
458;albanian3 random gain;albanian3 random gain;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;3
868;albanian4;albanian4;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;3
868;albanian4 white noise;albanian4 white noise;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;3
868;albanian4 time stretch;albanian4 time stretch;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;3
868;albanian4 pitch scale;albanian4 pitch scale;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;3
868;albanian4 random gain;albanian4 random gain;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;3
946;albanian5;albanian5;vlore, albania;albanian;italian;31;male;11;academic;usa;8;3
946;albanian5 white noise;albanian5 white noise;vlore, albania;albanian;italian;31;male;11;academic;usa;8;3
946;albanian5 time stretch;albanian5 time stretch;vlore, albania;albanian;italian;31;male;11;academic;usa;8;3
946;albanian5 pitch scale;albanian5 pitch scale;vlore, albania;albanian;italian;31;male;11;academic;usa;8;3
946;albanian5 random gain;albanian5 random gain;vlore, albania;albanian;italian;31;male;11;academic;usa;8;3
1081;albanian6;albanian6;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;3
1081;albanian6 white noise;albanian6 white noise;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;3
1081;albanian6 time stretch;albanian6 time stretch;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;3
1081;albanian6 pitch scale;albanian6 pitch scale;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;3
1081;albanian6 random gain;albanian6 random gain;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;3
1403;albanian7;albanian7;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;3
1403;albanian7 white noise;albanian7 white noise;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;3
1403;albanian7 time stretch;albanian7 time stretch;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;3
1403;albanian7 pitch scale;albanian7 pitch scale;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;3
1403;albanian7 random gain;albanian7 random gain;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;3
1404;albanian8;albanian8;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;3
1404;albanian8 white noise;albanian8 white noise;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;3
1404;albanian8 time stretch;albanian8 time stretch;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;3
1404;albanian8 pitch scale;albanian8 pitch scale;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;3
1404;albanian8 random gain;albanian8 random gain;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;3
1706;albanian9;albanian9;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;3
1706;albanian9 white noise;albanian9 white noise;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;3
1706;albanian9 time stretch;albanian9 time stretch;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;3
1706;albanian9 pitch scale;albanian9 pitch scale;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;3
1706;albanian9 random gain;albanian9 random gain;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;3
2289;albanian10;albanian10;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;3
2289;albanian10 white noise;albanian10 white noise;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;3
2289;albanian10 time stretch;albanian10 time stretch;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;3
2289;albanian10 pitch scale;albanian10 pitch scale;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;3
2289;albanian10 random gain;albanian10 random gain;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;3
2316;albanian11;albanian11;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;3
2316;albanian11 white noise;albanian11 white noise;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;3
2316;albanian11 time stretch;albanian11 time stretch;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;3
2316;albanian11 pitch scale;albanian11 pitch scale;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;3
2316;albanian11 random gain;albanian11 random gain;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;3
2690;albanian12;albanian12;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;3
2690;albanian12 white noise;albanian12 white noise;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;3
2690;albanian12 time stretch;albanian12 time stretch;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;3
2690;albanian12 pitch scale;albanian12 pitch scale;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;3
2690;albanian12 random gain;albanian12 random gain;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;3
2759;albanian13;albanian13;durres, albania;albanian;spanish;18;female;8;academic;usa;4;3
2759;albanian13 white noise;albanian13 white noise;durres, albania;albanian;spanish;18;female;8;academic;usa;4;3
2759;albanian13 time stretch;albanian13 time stretch;durres, albania;albanian;spanish;18;female;8;academic;usa;4;3
2759;albanian13 pitch scale;albanian13 pitch scale;durres, albania;albanian;spanish;18;female;8;academic;usa;4;3
2759;albanian13 random gain;albanian13 random gain;durres, albania;albanian;spanish;18;female;8;academic;usa;4;3
2800;albanian14;albanian14;tirana, albania;albanian;italian;23;female;9;academic;usa;4;3
2800;albanian14 white noise;albanian14 white noise;tirana, albania;albanian;italian;23;female;9;academic;usa;4;3
2800;albanian14 time stretch;albanian14 time stretch;tirana, albania;albanian;italian;23;female;9;academic;usa;4;3
2800;albanian14 pitch scale;albanian14 pitch scale;tirana, albania;albanian;italian;23;female;9;academic;usa;4;3
2800;albanian14 random gain;albanian14 random gain;tirana, albania;albanian;italian;23;female;9;academic;usa;4;3
6;amharic1;amharic1;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2;6
6;amharic1 white noise;amharic1 white noise;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2;6
6;amharic1 time stretch;amharic1 time stretch;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2;6
6;amharic1 pitch scale;amharic1 pitch scale;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2;6
6;amharic1 random gain;amharic1 random gain;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2;6
7;amharic2;amharic2;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2;6
7;amharic2 white noise;amharic2 white noise;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2;6
7;amharic2 time stretch;amharic2 time stretch;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2;6
7;amharic2 pitch scale;amharic2 pitch scale;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2;6
7;amharic2 random gain;amharic2 random gain;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2;6
8;amharic3;amharic3;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4;6
8;amharic3 white noise;amharic3 white noise;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4;6
8;amharic3 time stretch;amharic3 time stretch;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4;6
8;amharic3 pitch scale;amharic3 pitch scale;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4;6
8;amharic3 random gain;amharic3 random gain;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4;6
9;amharic4;amharic4;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2;6
9;amharic4 white noise;amharic4 white noise;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2;6
9;amharic4 time stretch;amharic4 time stretch;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2;6
9;amharic4 pitch scale;amharic4 pitch scale;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2;6
9;amharic4 random gain;amharic4 random gain;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2;6
10;amharic5;amharic5;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3;6
10;amharic5 white noise;amharic5 white noise;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3;6
10;amharic5 time stretch;amharic5 time stretch;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3;6
10;amharic5 pitch scale;amharic5 pitch scale;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3;6
10;amharic5 random gain;amharic5 random gain;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3;6
985;amharic6;amharic6;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1;6
985;amharic6 white noise;amharic6 white noise;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1;6
985;amharic6 time stretch;amharic6 time stretch;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1;6
985;amharic6 pitch scale;amharic6 pitch scale;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1;6
985;amharic6 random gain;amharic6 random gain;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1;6
989;amharic7;amharic7;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10;6
989;amharic7 white noise;amharic7 white noise;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10;6
989;amharic7 time stretch;amharic7 time stretch;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10;6
989;amharic7 pitch scale;amharic7 pitch scale;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10;6
989;amharic7 random gain;amharic7 random gain;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10;6
990;amharic8;amharic8;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20;6
990;amharic8 white noise;amharic8 white noise;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20;6
990;amharic8 time stretch;amharic8 time stretch;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20;6
990;amharic8 pitch scale;amharic8 pitch scale;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20;6
990;amharic8 random gain;amharic8 random gain;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20;6
991;amharic9;amharic9;addis ababa, ethiopia;amharic;arabic;40;male;12;academic;kenya, usa;7;6
991;amharic9 white noise;amharic9 white noise;addis ababa, ethiopia;amharic;arabic;40;male;12;academic;kenya, usa;7;6
