,speaker_id,file_name,sample_name,birth_place,native_langs,other_langs,age,sex,age_of_english_onset,english_learning_method,english_residence,years_of_english_residence,class_labels,primary_lang_group,secondary_lang_group,primary_lang_group_id,secondary_lang_group_id
8,4,albanian1,albanian1,"prishtina, kosovo",albanian,serbian macedonian bosnian,19.0,male,6.0,naturalistic,usa,3.0,3,Indo-European,Albanian,5,501
9,5,albanian2,albanian2,"tirana, albania",albanian,german italian,33.0,male,15.0,naturalistic,usa,0.04,3,Indo-European,Albanian,5,501
10,458,albanian3,albanian3,"tirana, albania",albanian,italian french russian greek spanish,44.0,male,35.0,naturalistic,usa,9.0,3,Indo-European,Albanian,5,501
11,868,albanian4,albanian4,"mitrovice, kosovo",albanian,german serbian,33.0,male,28.0,academic,usa,5.0,3,Indo-European,Albanian,5,501
12,946,albanian5,albanian5,"vlore, albania",albanian,italian,31.0,male,11.0,academic,usa,8.0,3,Indo-European,Albanian,5,501
13,1081,albanian6,albanian6,"prishtina, kosovo",albanian,serbian,25.0,female,11.0,academic,usa,10.0,3,Indo-European,Albanian,5,501
14,1403,albanian7,albanian7,"prishtina, kosovo",albanian,serbian,45.0,female,11.0,academic,usa,12.0,3,Indo-European,Albanian,5,501
15,1404,albanian8,albanian8,"prishtina, kosovo",albanian,serbian,43.0,female,9.0,academic,usa,13.0,3,Indo-European,Albanian,5,501
16,1706,albanian9,albanian9,"tirana, albania",albanian,german italian french spanish latin,22.0,female,6.0,naturalistic,usa,1.4,3,Indo-European,Albanian,5,501
17,2289,albanian10,albanian10,"elbasan, albania",albanian,french,30.0,male,11.0,naturalistic,usa,19.0,3,Indo-European,Albanian,5,501
18,2316,albanian11,albanian11,"gjilan, kosovo",albanian,spanish,24.0,female,13.0,academic,usa,8.0,3,Indo-European,Albanian,5,501
19,2690,albanian12,albanian12,"tirana, albania",albanian,italian,51.0,male,14.0,naturalistic,usa,27.0,3,Indo-European,Albanian,5,501
20,2759,albanian13,albanian13,"durres, albania",albanian,spanish,18.0,female,8.0,academic,usa,4.0,3,Indo-European,Albanian,5,501
21,2800,albanian14,albanian14,"tirana, albania",albanian,italian,23.0,female,9.0,academic,usa,4.0,3,Indo-European,Albanian,5,501
26,6,amharic1,amharic1,"addis ababa, ethiopia",amharic,none,20.0,female,5.0,academic,usa,2.0,6,Afro-Asiatic,Semitic,1,102
27,7,amharic2,amharic2,"arba minch, ethiopia",amharic,gamugna,23.0,male,7.0,academic,usa,2.0,6,Afro-Asiatic,Semitic,1,102
28,8,amharic3,amharic3,"addis ababa, ethiopia",amharic,oromo,27.0,male,8.0,academic,usa,4.0,6,Afro-Asiatic,Semitic,1,102
29,9,amharic4,amharic4,"addis ababa, ethiopia",amharic,none,20.0,male,7.0,academic,usa,2.0,6,Afro-Asiatic,Semitic,1,102
30,10,amharic5,amharic5,"addis ababa, ethiopia",amharic,russian,31.0,male,7.0,academic,usa,3.0,6,Afro-Asiatic,Semitic,1,102
31,985,amharic6,amharic6,"addis ababa, ethiopia",amharic,tigrigna,31.0,female,4.0,academic,usa,1.0,6,Afro-Asiatic,Semitic,1,102
32,989,amharic7,amharic7,"addis ababa, ethiopia",amharic,kiswahili,38.0,male,13.0,academic,"kenya, usa",10.0,6,Afro-Asiatic,Semitic,1,102
33,990,amharic8,amharic8,"addis ababa, ethiopia",amharic,arabic,30.0,female,12.0,academic,usa,20.0,6,Afro-Asiatic,Semitic,1,102
34,991,amharic9,amharic9,"addis ababa, ethiopia",amharic,arabic,40.0,male,12.0,academic,"kenya, usa",7.0,6,Afro-Asiatic,Semitic,1,102
35,998,amharic10,amharic10,"gonder, ethiopia",amharic,none,29.0,female,19.0,naturalistic,usa,10.0,6,Afro-Asiatic,Semitic,1,102
36,1129,amharic11,amharic11,"addis ababa, ethiopia",amharic,harari,24.0,female,17.0,academic,usa,9.0,6,Afro-Asiatic,Semitic,1,102
37,1130,amharic12,amharic12,"addis ababa, ethiopia",amharic,none,26.0,female,15.0,academic,usa,10.0,6,Afro-Asiatic,Semitic,1,102
38,1131,amharic13,amharic13,"addis ababa, ethiopia",amharic,none,28.0,female,6.0,academic,usa,9.0,6,Afro-Asiatic,Semitic,1,102
39,1515,amharic14,amharic14,"addis ababa, ethiopia",amharic,none,31.0,male,12.0,academic,usa,11.0,6,Afro-Asiatic,Semitic,1,102
40,1516,amharic15,amharic15,"addis ababa, ethiopia",amharic,tigrigna,23.0,male,6.0,academic,usa,1.0,6,Afro-Asiatic,Semitic,1,102
41,1854,amharic16,amharic16,"werder, ethiopia",amharic,none,36.0,male,11.0,academic,usa,10.0,6,Afro-Asiatic,Semitic,1,102
42,1906,amharic17,amharic17,"addis ababa, ethiopia",amharic,tigrigna,21.0,male,9.0,academic,usa,10.0,6,Afro-Asiatic,Semitic,1,102
43,2017,amharic18,amharic18,"addis ababa, ethiopia",amharic,french tigrigna,20.0,female,2.0,naturalistic,usa,7.0,6,Afro-Asiatic,Semitic,1,102
44,2132,amharic19,amharic19,"tefki, ethiopia",amharic,oromo,19.0,female,10.0,academic,usa,9.0,6,Afro-Asiatic,Semitic,1,102
45,2135,amharic20,amharic20,"addis ababa, ethiopia",amharic,french,52.0,female,24.0,academic,usa,1.0,6,Afro-Asiatic,Semitic,1,102
46,2255,amharic21,amharic21,"addis ababa, ethiopia",amharic,none,24.0,male,15.0,academic,usa,6.0,6,Afro-Asiatic,Semitic,1,102
47,2392,amharic22,amharic22,"addis ababa, ethiopia",amharic,none,35.0,female,12.0,academic,usa,5.0,6,Afro-Asiatic,Semitic,1,102
48,2583,amharic23,amharic23,"addis ababa, ethiopia",amharic,none,32.0,male,10.0,academic,usa,3.0,6,Afro-Asiatic,Semitic,1,102
49,2744,amharic24,amharic24,"addis ababa, ethiopia",amharic,arabic spanish,19.0,male,11.0,naturalistic,usa,8.0,6,Afro-Asiatic,Semitic,1,102
50,2821,amharic25,amharic25,"addis ababa, ethiopia",amharic,arabic,24.0,female,21.0,academic,usa,3.0,6,Afro-Asiatic,Semitic,1,102
51,2822,amharic26,amharic26,"addis ababa, ethiopia",amharic,tigrigna,30.0,female,23.0,naturalistic,usa,7.0,6,Afro-Asiatic,Semitic,1,102
52,2830,amharic27,amharic27,"addis ababa, ethiopia",amharic,none,18.0,female,5.0,naturalistic,usa,11.0,6,Afro-Asiatic,Semitic,1,102
53,11,arabic1,arabic1,"riyadh, saudi arabia",arabic,none,38.0,female,12.0,academic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
54,12,arabic10,arabic10,"cairo, egypt",arabic,french german,26.0,male,5.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
55,13,arabic11,arabic11,"monastir, tunisia",arabic,french,30.0,female,14.0,academic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
56,14,arabic12,arabic12,"baghdad, iraq",arabic,none,32.0,male,11.0,academic,usa,8.0,7,Afro-Asiatic,Semitic,1,102
57,15,arabic13,arabic13,"zabbougha, lebanon",arabic,french swedish,25.0,male,15.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
58,16,arabic2,arabic2,"damascus, syria",arabic,none,18.0,male,2.5,naturalistic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
59,17,arabic3,arabic3,"doha, qatar",arabic,none,24.0,male,9.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
60,18,arabic4,arabic4,"sharjah, united arab emirates",arabic,french,19.0,male,6.0,academic,usa,0.6,7,Afro-Asiatic,Semitic,1,102
61,19,arabic5,arabic5,"casablanca, morocco",arabic,french,19.0,female,15.0,academic,usa,0.6,7,Afro-Asiatic,Semitic,1,102
62,20,arabic6,arabic6,"sanaa, yemen",arabic,none,21.0,male,14.5,academic,"uk,usa",2.0,7,Afro-Asiatic,Semitic,1,102
63,21,arabic7,arabic7,"casablanca, morocco",arabic,french,18.0,female,15.0,academic,usa,0.1,7,Afro-Asiatic,Semitic,1,102
64,22,arabic8,arabic8,"casablanca, morocco",arabic,french,21.0,male,17.0,academic,usa,0.7,7,Afro-Asiatic,Semitic,1,102
65,23,arabic9,arabic9,"jerusalem, israel",arabic,none,28.0,female,4.0,academic,usa,12.0,7,Afro-Asiatic,Semitic,1,102
66,428,arabic14,arabic14,"amman, jordan",arabic,hebrew,47.0,male,11.0,naturalistic,usa,25.0,7,Afro-Asiatic,Semitic,1,102
67,437,arabic15,arabic15,"qayrawan, tunisia",arabic,french,40.0,male,33.0,naturalistic,usa,7.0,7,Afro-Asiatic,Semitic,1,102
68,471,arabic16,arabic16,"meknes, morocco",arabic,french spanish,22.0,male,16.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
69,512,arabic17,arabic17,"settat, morocco",arabic,french,35.0,male,15.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
70,539,arabic18,arabic18,"kuwait city, kuwait",arabic,french,18.0,male,6.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
71,625,arabic19,arabic19,"khouribga, morocco",arabic,french,43.0,male,18.0,academic,usa,8.0,7,Afro-Asiatic,Semitic,1,102
72,643,arabic20,arabic20,"chtaura, beqa valley, lebanon",arabic,french german,36.0,male,12.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
73,670,arabic21,arabic21,"beirut, lebanon",arabic,french,46.0,female,30.0,naturalistic,usa,13.0,7,Afro-Asiatic,Semitic,1,102
74,920,arabic22,arabic22,"abu dhabi, united arab emirates",arabic,french hebrew,23.0,female,10.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
75,927,arabic23,arabic23,"al mahalla, egypt",arabic,italian farsi french hebrew,42.0,male,13.0,academic,usa,8.0,7,Afro-Asiatic,Semitic,1,102
76,970,arabic24,arabic24,"cairo, egypt",arabic,none,40.0,male,7.0,academic,uk,3.0,7,Afro-Asiatic,Semitic,1,102
77,1011,arabic25,arabic25,"ramun, israel (occupied territory)",arabic,french spanish,38.0,male,5.0,naturalistic,usa,33.0,7,Afro-Asiatic,Semitic,1,102
78,1012,arabic26,arabic26,"amman, jordan",arabic,none,43.0,female,14.0,academic,usa,28.0,7,Afro-Asiatic,Semitic,1,102
