speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels;primary_lang_group;secondary_lang_group;primary_lang_group_id;secondary_lang_group_id
1;afrikaans1;afrikaans1;virginia, south africa;afrikaans;tswana;27;female;9;academic;usa;0.5;0;not selected;not selected;0;0
2;afrikaans2;afrikaans2;pretoria, south africa;afrikaans;dutch german french;40;male;5;academic;usa;10;0;not selected;not selected;0;0
3;afrikaans3;afrikaans3;pretoria, transvaal, south africa;afrikaans;gujarati sindhi french;43;male;4;naturalistic;usa;20.7;0;not selected;not selected;0;0
4;afrikaans4;afrikaans4;pretoria, south africa;afrikaans;flemish dutch;26;male;8;academic;usa;15;0;not selected;not selected;0;0
5;afrikaans5;afrikaans5;cape town, south africa;afrikaans;none;19;male;6;academic;australia;9;0;not selected;not selected;0;0
6;afrikaans6;afrikaans6;capetown, south africa;afrikaans;german korean;29;male;5;naturalistic;south africa;23;0;not selected;not selected;0;0
7;agni1;agni1;diekabo, ivory coast;agni;french;25;male;15;academic;usa;1.2;1;not selected;not selected;0;0
8;akan1;akan1;accra, ghana;akan;none;41;male;5;academic;ghana, usa;41;2;not selected;not selected;0;0
9;albanian1;albanian1;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3;3;Indo-European;Albanian;5;501
10;albanian2;albanian2;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04;3;Indo-European;Albanian;5;501
11;albanian3;albanian3;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;3;Indo-European;Albanian;5;501
12;albanian4;albanian4;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;3;Indo-European;Albanian;5;501
13;albanian5;albanian5;vlore, albania;albanian;italian;31;male;11;academic;usa;8;3;Indo-European;Albanian;5;501
14;albanian6;albanian6;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;3;Indo-European;Albanian;5;501
15;albanian7;albanian7;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;3;Indo-European;Albanian;5;501
16;albanian8;albanian8;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;3;Indo-European;Albanian;5;501
17;albanian9;albanian9;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;3;Indo-European;Albanian;5;501
18;albanian10;albanian10;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;3;Indo-European;Albanian;5;501
19;albanian11;albanian11;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;3;Indo-European;Albanian;5;501
20;albanian12;albanian12;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;3;Indo-European;Albanian;5;501
21;albanian13;albanian13;durres, albania;albanian;spanish;18;female;8;academic;usa;4;3;Indo-European;Albanian;5;501
22;albanian14;albanian14;tirana, albania;albanian;italian;23;female;9;academic;usa;4;3;Indo-European;Albanian;5;501
23;amazigh1;amazigh1;tata, morocco;amazigh;french arabic spanish;37;male;32;academic;usa;7;4;not selected;not selected;0;0
24;amazigh2;amazigh2;ouarzazat, morocco;amazigh;arabic french;39;male;16;academic;usa;4;4;not selected;not selected;0;0
25;asl1;american sign language1;philadelphia, pennsylvania, usa;american sign language;arabic;19;female;4;academic;usa;19;5;not selected;not selected;0;0
26;asl2;american sign language2;new york, new york, usa;american sign language;none;36;male;2;academic;usa;36;5;not selected;not selected;0;0
27;amharic1;amharic1;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2;6;Afro-Asiatic;Semitic;1;102
28;amharic2;amharic2;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2;6;Afro-Asiatic;Semitic;1;102
29;amharic3;amharic3;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4;6;Afro-Asiatic;Semitic;1;102
30;amharic4;amharic4;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2;6;Afro-Asiatic;Semitic;1;102
31;amharic5;amharic5;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3;6;Afro-Asiatic;Semitic;1;102
32;amharic6;amharic6;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1;6;Afro-Asiatic;Semitic;1;102
33;amharic7;amharic7;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10;6;Afro-Asiatic;Semitic;1;102
34;amharic8;amharic8;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20;6;Afro-Asiatic;Semitic;1;102
35;amharic9;amharic9;addis ababa, ethiopia;amharic;arabic;40;male;12;academic;kenya, usa;7;6;Afro-Asiatic;Semitic;1;102
