speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels;primary_lang_group;secondary_lang_group;primary_lang_group_id;secondary_lang_group_id
11;albanian3;albanian3;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0;Indo-European;Albanian;5;501
11;albanian3 white noise;albanian3 white noise;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0;Indo-European;Albanian;5;501
11;albanian3 time stretch;albanian3 time stretch;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0;Indo-European;Albanian;5;501
11;albanian3 pitch scale;albanian3 pitch scale;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0;Indo-European;Albanian;5;501
11;albanian3 random gain;albanian3 random gain;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0;Indo-European;Albanian;5;501
12;albanian4;albanian4;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0;Indo-European;Albanian;5;501
12;albanian4 white noise;albanian4 white noise;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0;Indo-European;Albanian;5;501
12;albanian4 time stretch;albanian4 time stretch;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0;Indo-European;Albanian;5;501
12;albanian4 pitch scale;albanian4 pitch scale;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0;Indo-European;Albanian;5;501
12;albanian4 random gain;albanian4 random gain;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0;Indo-European;Albanian;5;501
13;albanian5;albanian5;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0;Indo-European;Albanian;5;501
13;albanian5 white noise;albanian5 white noise;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0;Indo-European;Albanian;5;501
13;albanian5 time stretch;albanian5 time stretch;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0;Indo-European;Albanian;5;501
13;albanian5 pitch scale;albanian5 pitch scale;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0;Indo-European;Albanian;5;501
13;albanian5 random gain;albanian5 random gain;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0;Indo-European;Albanian;5;501
14;albanian6;albanian6;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0;Indo-European;Albanian;5;501
14;albanian6 white noise;albanian6 white noise;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0;Indo-European;Albanian;5;501
14;albanian6 time stretch;albanian6 time stretch;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0;Indo-European;Albanian;5;501
14;albanian6 pitch scale;albanian6 pitch scale;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0;Indo-European;Albanian;5;501
